WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
INFO:root:000: Acc-tr:  45.03, Acc-val:  50.95, L-tr: 1.5314, L-val: 1.4193
INFO:root:006: Acc-tr:  86.28, Acc-val:  76.54, L-tr: 0.3902, L-val: 0.7380
INFO:root:007: Acc-tr:  88.32, Acc-val:  77.40, L-tr: 0.3330, L-val: 0.7160
INFO:root:008: Acc-tr:  89.87, Acc-val:  78.85, L-tr: 0.2857, L-val: 0.6660
INFO:root:009: Acc-tr:  91.53, Acc-val:  78.32, L-tr: 0.2390, L-val: 0.7595
INFO:root:010: Acc-tr:  92.67, Acc-val:  81.80, L-tr: 0.2033, L-val: 0.6218
INFO:root:011: Acc-tr:  93.99, Acc-val:  78.64, L-tr: 0.1662, L-val: 0.7791
INFO:root:012: Acc-tr:  95.20, Acc-val:  79.94, L-tr: 0.1350, L-val: 0.7472
INFO:root:013: Acc-tr:  95.79, Acc-val:  77.89, L-tr: 0.1171, L-val: 0.9202
INFO:root:014: Acc-tr:  96.70, Acc-val:  81.09, L-tr: 0.0925, L-val: 0.8092
INFO:root:015: Acc-tr:  96.55, Acc-val:  81.38, L-tr: 0.0954, L-val: 0.7960
INFO:root:016: Acc-tr:  97.03, Acc-val:  81.26, L-tr: 0.0833, L-val: 0.7654
INFO:root:017: Acc-tr:  97.55, Acc-val:  82.11, L-tr: 0.0702, L-val: 0.7624
INFO:root:018: Acc-tr:  97.52, Acc-val:  78.74, L-tr: 0.0685, L-val: 1.0183
INFO:root:019: Acc-tr:  98.03, Acc-val:  82.49, L-tr: 0.0587, L-val: 0.7441
INFO:root:020: Acc-tr:  98.25, Acc-val:  82.71, L-tr: 0.0515, L-val: 0.7790
INFO:root:021: Acc-tr:  97.79, Acc-val:  83.53, L-tr: 0.0642, L-val: 0.7558
INFO:root:022: Acc-tr:  98.48, Acc-val:  80.25, L-tr: 0.0427, L-val: 0.9097
INFO:root:023: Acc-tr:  98.86, Acc-val:  83.77, L-tr: 0.0351, L-val: 0.7686
INFO:root:024: Acc-tr:  99.05, Acc-val:  84.15, L-tr: 0.0284, L-val: 0.7433
INFO:root:025: Acc-tr:  98.85, Acc-val:  83.47, L-tr: 0.0338, L-val: 0.7346
INFO:root:026: Acc-tr:  98.11, Acc-val:  82.17, L-tr: 0.0540, L-val: 0.8035
INFO:root:027: Acc-tr:  98.28, Acc-val:  82.69, L-tr: 0.0496, L-val: 0.7699
INFO:root:028: Acc-tr:  99.01, Acc-val:  84.13, L-tr: 0.0301, L-val: 0.7546
INFO:root:029: Acc-tr:  99.06, Acc-val:  82.39, L-tr: 0.0292, L-val: 0.8346
INFO:root:030: Acc-tr:  98.78, Acc-val:  81.19, L-tr: 0.0357, L-val: 0.9631
INFO:root:031: Acc-tr:  98.61, Acc-val:  81.96, L-tr: 0.0412, L-val: 0.8832
INFO:root:032: Acc-tr:  98.70, Acc-val:  79.15, L-tr: 0.0381, L-val: 1.0792
INFO:root:033: Acc-tr:  98.81, Acc-val:  81.12, L-tr: 0.0351, L-val: 0.9316
INFO:root:034: Acc-tr:  98.32, Acc-val:  84.35, L-tr: 0.0498, L-val: 0.6961
INFO:root:035: Acc-tr:  98.86, Acc-val:  83.41, L-tr: 0.0338, L-val: 0.8115
INFO:root:036: Acc-tr:  99.10, Acc-val:  78.64, L-tr: 0.0286, L-val: 1.3422
INFO:root:037: Acc-tr:  98.84, Acc-val:  83.04, L-tr: 0.0338, L-val: 0.8004
INFO:root:038: Acc-tr:  99.02, Acc-val:  82.09, L-tr: 0.0292, L-val: 0.8811
INFO:root:039: Acc-tr:  98.91, Acc-val:  83.56, L-tr: 0.0325, L-val: 0.7951
INFO:root:040: Acc-tr:  98.21, Acc-val:  80.92, L-tr: 0.0502, L-val: 0.8750
INFO:root:041: Acc-tr:  99.01, Acc-val:  85.58, L-tr: 0.0289, L-val: 0.6690
INFO:root:042: Acc-tr:  99.51, Acc-val:  84.27, L-tr: 0.0161, L-val: 0.7571
INFO:root:043: Acc-tr:  99.77, Acc-val:  85.42, L-tr: 0.0080, L-val: 0.6968
INFO:root:044: Acc-tr:  99.87, Acc-val:  85.77, L-tr: 0.0058, L-val: 0.7111
INFO:root:045: Acc-tr:  99.96, Acc-val:  86.13, L-tr: 0.0026, L-val: 0.6696
INFO:root:046: Acc-tr: 100.00, Acc-val:  87.01, L-tr: 0.0008, L-val: 0.6324
INFO:root:047: Acc-tr: 100.00, Acc-val:  87.26, L-tr: 0.0004, L-val: 0.6124
INFO:root:048: Acc-tr: 100.00, Acc-val:  87.21, L-tr: 0.0003, L-val: 0.6057
INFO:root:000: Acc-tr:  25.34, Acc-val:  25.43, L-tr: 2.0533, L-val: 1.9794
INFO:root:001: Acc-tr:  31.83, Acc-val:  29.65, L-tr: 1.8066, L-val: 1.8614
INFO:root:002: Acc-tr:  36.87, Acc-val:  37.44, L-tr: 1.6917, L-val: 1.6978
INFO:root:003: Acc-tr:  41.23, Acc-val:  38.72, L-tr: 1.5984, L-val: 1.6565
INFO:root:004: Acc-tr:  45.56, Acc-val:  39.90, L-tr: 1.4952, L-val: 1.6335
INFO:root:005: Acc-tr:  48.49, Acc-val:  41.19, L-tr: 1.4188, L-val: 1.6506
INFO:root:006: Acc-tr:  51.10, Acc-val:  42.19, L-tr: 1.3524, L-val: 1.6226
INFO:root:007: Acc-tr:  54.22, Acc-val:  45.65, L-tr: 1.2710, L-val: 1.5116
INFO:root:008: Acc-tr:  56.36, Acc-val:  44.51, L-tr: 1.2085, L-val: 1.6010
INFO:root:009: Acc-tr:  58.80, Acc-val:  48.68, L-tr: 1.1431, L-val: 1.4351
INFO:root:010: Acc-tr:  60.79, Acc-val:  50.81, L-tr: 1.0872, L-val: 1.4272
INFO:root:011: Acc-tr:  62.85, Acc-val:  45.81, L-tr: 1.0275, L-val: 1.7450
INFO:root:012: Acc-tr:  65.39, Acc-val:  52.14, L-tr: 0.9590, L-val: 1.4473
INFO:root:013: Acc-tr:  67.63, Acc-val:  47.98, L-tr: 0.8967, L-val: 1.5380
INFO:root:014: Acc-tr:  69.93, Acc-val:  49.62, L-tr: 0.8318, L-val: 1.6517
INFO:root:015: Acc-tr:  71.66, Acc-val:  49.18, L-tr: 0.7756, L-val: 1.6826
INFO:root:016: Acc-tr:  74.02, Acc-val:  49.72, L-tr: 0.7146, L-val: 1.6010
INFO:root:017: Acc-tr:  75.72, Acc-val:  49.44, L-tr: 0.6685, L-val: 1.8699
INFO:root:018: Acc-tr:  77.66, Acc-val:  49.86, L-tr: 0.6127, L-val: 1.7538
INFO:root:019: Acc-tr:  79.89, Acc-val:  50.29, L-tr: 0.5538, L-val: 1.9854
INFO:root:020: Acc-tr:  81.78, Acc-val:  44.41, L-tr: 0.5004, L-val: 2.2320
INFO:root:021: Acc-tr:  83.39, Acc-val:  46.84, L-tr: 0.4552, L-val: 2.3138
INFO:root:022: Acc-tr:  84.68, Acc-val:  49.85, L-tr: 0.4195, L-val: 2.1604
INFO:root:023: Acc-tr:  86.38, Acc-val:  49.20, L-tr: 0.3776, L-val: 2.0885
INFO:root:024: Acc-tr:  87.44, Acc-val:  45.81, L-tr: 0.3472, L-val: 2.3937
INFO:root:025: Acc-tr:  88.53, Acc-val:  48.26, L-tr: 0.3203, L-val: 2.4915
INFO:root:026: Acc-tr:  89.90, Acc-val:  46.61, L-tr: 0.2815, L-val: 2.8442
INFO:root:027: Acc-tr:  90.56, Acc-val:  47.47, L-tr: 0.2620, L-val: 2.7203
INFO:root:028: Acc-tr:  90.54, Acc-val:  49.76, L-tr: 0.2611, L-val: 2.3859
INFO:root:029: Acc-tr:  91.92, Acc-val:  49.34, L-tr: 0.2255, L-val: 2.5847
INFO:root:030: Acc-tr:  91.99, Acc-val:  49.45, L-tr: 0.2230, L-val: 2.7695
INFO:root:031: Acc-tr:  92.91, Acc-val:  50.03, L-tr: 0.1971, L-val: 2.7290
INFO:root:032: Acc-tr:  93.04, Acc-val:  51.08, L-tr: 0.1920, L-val: 2.6401
INFO:root:033: Acc-tr:  93.65, Acc-val:  49.35, L-tr: 0.1772, L-val: 2.8813
INFO:root:034: Acc-tr:  94.16, Acc-val:  47.59, L-tr: 0.1638, L-val: 2.9533
INFO:root:035: Acc-tr:  94.13, Acc-val:  49.74, L-tr: 0.1661, L-val: 2.6928
INFO:root:036: Acc-tr:  94.18, Acc-val:  51.60, L-tr: 0.1648, L-val: 2.7145
INFO:root:037: Acc-tr:  94.71, Acc-val:  51.07, L-tr: 0.1499, L-val: 2.6987
INFO:root:038: Acc-tr:  94.99, Acc-val:  46.97, L-tr: 0.1415, L-val: 3.2145
INFO:root:039: Acc-tr:  94.63, Acc-val:  50.78, L-tr: 0.1531, L-val: 2.9926
INFO:root:040: Acc-tr:  95.48, Acc-val:  51.45, L-tr: 0.1309, L-val: 2.8069
INFO:root:041: Acc-tr:  95.54, Acc-val:  48.40, L-tr: 0.1260, L-val: 3.3589
INFO:root:042: Acc-tr:  95.14, Acc-val:  50.70, L-tr: 0.1379, L-val: 2.7335
INFO:root:043: Acc-tr:  95.50, Acc-val:  48.07, L-tr: 0.1259, L-val: 3.3229
INFO:root:044: Acc-tr:  95.89, Acc-val:  50.90, L-tr: 0.1168, L-val: 2.9328
INFO:root:045: Acc-tr:  95.67, Acc-val:  51.93, L-tr: 0.1238, L-val: 2.8279
INFO:root:046: Acc-tr:  95.84, Acc-val:  50.96, L-tr: 0.1211, L-val: 2.9884
INFO:root:047: Acc-tr:  95.94, Acc-val:  50.74, L-tr: 0.1164, L-val: 2.8417
INFO:root:048: Acc-tr:  95.86, Acc-val:  49.01, L-tr: 0.1166, L-val: 3.1573
INFO:root:049: Acc-tr:  95.98, Acc-val:  49.83, L-tr: 0.1134, L-val: 2.8898
INFO:root:050: Acc-tr:  96.26, Acc-val:  51.56, L-tr: 0.1086, L-val: 2.8460
INFO:root:051: Acc-tr:  95.30, Acc-val:  51.34, L-tr: 0.1323, L-val: 2.9347
INFO:root:052: Acc-tr:  96.11, Acc-val:  48.10, L-tr: 0.1101, L-val: 3.3224
INFO:root:053: Acc-tr:  96.17, Acc-val:  49.89, L-tr: 0.1057, L-val: 3.1697
INFO:root:054: Acc-tr:  96.33, Acc-val:  50.53, L-tr: 0.1046, L-val: 2.9870
INFO:root:055: Acc-tr:  96.23, Acc-val:  48.64, L-tr: 0.1083, L-val: 3.3721
INFO:root:056: Acc-tr:  96.05, Acc-val:  49.21, L-tr: 0.1145, L-val: 3.3778
INFO:root:057: Acc-tr:  96.47, Acc-val:  48.01, L-tr: 0.1007, L-val: 3.1201
INFO:root:058: Acc-tr:  96.49, Acc-val:  49.72, L-tr: 0.0995, L-val: 3.1549
INFO:root:059: Acc-tr:  96.13, Acc-val:  51.15, L-tr: 0.1117, L-val: 3.0149
INFO:root:060: Acc-tr:  96.57, Acc-val:  52.17, L-tr: 0.0982, L-val: 3.0769
INFO:root:061: Acc-tr:  96.43, Acc-val:  49.75, L-tr: 0.1030, L-val: 2.9836
INFO:root:062: Acc-tr:  96.19, Acc-val:  49.98, L-tr: 0.1072, L-val: 2.9060
INFO:root:063: Acc-tr:  96.27, Acc-val:  48.91, L-tr: 0.1064, L-val: 3.2901
INFO:root:064: Acc-tr:  96.47, Acc-val:  46.93, L-tr: 0.0986, L-val: 3.8623
INFO:root:065: Acc-tr:  96.15, Acc-val:  49.63, L-tr: 0.1117, L-val: 3.0544
INFO:root:066: Acc-tr:  96.59, Acc-val:  50.02, L-tr: 0.0958, L-val: 3.3535
INFO:root:067: Acc-tr:  96.45, Acc-val:  50.58, L-tr: 0.1000, L-val: 3.1005
INFO:root:068: Acc-tr:  96.85, Acc-val:  48.12, L-tr: 0.0902, L-val: 3.4389
INFO:root:069: Acc-tr:  95.96, Acc-val:  49.25, L-tr: 0.1150, L-val: 2.9964
INFO:root:070: Acc-tr:  96.35, Acc-val:  50.35, L-tr: 0.1053, L-val: 3.1045
INFO:root:071: Acc-tr:  96.82, Acc-val:  51.09, L-tr: 0.0925, L-val: 2.9207
INFO:root:072: Acc-tr:  96.63, Acc-val:  48.69, L-tr: 0.0958, L-val: 3.2289
INFO:root:073: Acc-tr:  96.01, Acc-val:  48.06, L-tr: 0.1127, L-val: 3.2299
INFO:root:074: Acc-tr:  96.49, Acc-val:  48.97, L-tr: 0.1002, L-val: 3.2037
INFO:root:075: Acc-tr:  96.09, Acc-val:  50.05, L-tr: 0.1113, L-val: 3.2670
INFO:root:076: Acc-tr:  96.90, Acc-val:  49.55, L-tr: 0.0901, L-val: 3.1068
INFO:root:077: Acc-tr:  96.43, Acc-val:  50.75, L-tr: 0.1024, L-val: 3.1179
INFO:root:078: Acc-tr:  96.25, Acc-val:  48.67, L-tr: 0.1064, L-val: 3.3922
INFO:root:079: Acc-tr:  97.13, Acc-val:  50.41, L-tr: 0.0839, L-val: 3.0852
INFO:root:080: Acc-tr:  96.48, Acc-val:  50.48, L-tr: 0.0971, L-val: 2.9507
INFO:root:081: Acc-tr:  96.41, Acc-val:  50.65, L-tr: 0.1012, L-val: 2.9878
INFO:root:082: Acc-tr:  96.62, Acc-val:  42.77, L-tr: 0.0957, L-val: 3.7314
INFO:root:083: Acc-tr:  96.38, Acc-val:  49.26, L-tr: 0.1031, L-val: 3.1125
INFO:root:084: Acc-tr:  97.03, Acc-val:  52.43, L-tr: 0.0861, L-val: 2.9332
INFO:root:085: Acc-tr:  96.88, Acc-val:  50.16, L-tr: 0.0892, L-val: 3.1547
INFO:root:086: Acc-tr:  95.87, Acc-val:  50.86, L-tr: 0.1170, L-val: 2.9234
INFO:root:087: Acc-tr:  96.65, Acc-val:  48.65, L-tr: 0.0960, L-val: 3.3339
INFO:root:088: Acc-tr:  96.90, Acc-val:  48.83, L-tr: 0.0892, L-val: 3.2925
INFO:root:089: Acc-tr:  96.37, Acc-val:  51.82, L-tr: 0.1034, L-val: 2.7700
INFO:root:090: Acc-tr:  97.04, Acc-val:  51.35, L-tr: 0.0843, L-val: 3.0011
INFO:root:091: Acc-tr:  96.27, Acc-val:  50.62, L-tr: 0.1056, L-val: 3.0171
INFO:root:092: Acc-tr:  96.46, Acc-val:  50.86, L-tr: 0.1035, L-val: 2.8863
INFO:root:093: Acc-tr:  96.81, Acc-val:  52.41, L-tr: 0.0949, L-val: 2.8448
INFO:root:094: Acc-tr:  96.64, Acc-val:  50.18, L-tr: 0.0944, L-val: 3.0096
INFO:root:095: Acc-tr:  96.75, Acc-val:  50.05, L-tr: 0.0941, L-val: 3.1782
INFO:root:096: Acc-tr:  96.87, Acc-val:  52.05, L-tr: 0.0909, L-val: 2.6771
INFO:root:097: Acc-tr:  96.97, Acc-val:  45.61, L-tr: 0.0874, L-val: 3.6643
INFO:root:098: Acc-tr:  96.15, Acc-val:  49.54, L-tr: 0.1080, L-val: 3.1543
INFO:root:099: Acc-tr:  96.67, Acc-val:  51.09, L-tr: 0.0971, L-val: 2.9956
INFO:root:100: Acc-tr:  97.06, Acc-val:  50.42, L-tr: 0.0821, L-val: 3.2647
INFO:root:101: Acc-tr:  96.55, Acc-val:  49.22, L-tr: 0.0981, L-val: 3.2610
INFO:root:102: Acc-tr:  96.66, Acc-val:  49.07, L-tr: 0.0968, L-val: 2.9641
INFO:root:103: Acc-tr:  96.77, Acc-val:  51.54, L-tr: 0.0912, L-val: 3.0165
INFO:root:104: Acc-tr:  96.69, Acc-val:  49.24, L-tr: 0.0932, L-val: 3.1903
INFO:root:105: Acc-tr:  96.37, Acc-val:  49.30, L-tr: 0.1028, L-val: 3.0647
INFO:root:106: Acc-tr:  96.88, Acc-val:  49.96, L-tr: 0.0883, L-val: 3.0651
INFO:root:107: Acc-tr:  96.79, Acc-val:  50.18, L-tr: 0.0917, L-val: 3.1953
INFO:root:108: Acc-tr:  96.72, Acc-val:  46.80, L-tr: 0.0982, L-val: 3.3504
INFO:root:109: Acc-tr:  97.09, Acc-val:  48.23, L-tr: 0.0858, L-val: 3.0894
INFO:root:110: Acc-tr:  96.53, Acc-val:  51.14, L-tr: 0.0986, L-val: 2.9677
INFO:root:111: Acc-tr:  97.02, Acc-val:  48.83, L-tr: 0.0860, L-val: 3.1703
INFO:root:112: Acc-tr:  96.48, Acc-val:  47.86, L-tr: 0.1015, L-val: 3.5003
INFO:root:113: Acc-tr:  96.54, Acc-val:  50.95, L-tr: 0.1002, L-val: 2.8907
INFO:root:114: Acc-tr:  96.80, Acc-val:  51.19, L-tr: 0.0917, L-val: 2.9314
INFO:root:115: Acc-tr:  97.06, Acc-val:  50.10, L-tr: 0.0827, L-val: 3.1089
INFO:root:116: Acc-tr:  96.99, Acc-val:  51.72, L-tr: 0.0861, L-val: 2.8626
INFO:root:117: Acc-tr:  97.12, Acc-val:  50.77, L-tr: 0.0821, L-val: 3.0152
INFO:root:118: Acc-tr:  96.25, Acc-val:  51.48, L-tr: 0.1061, L-val: 3.0258
INFO:root:119: Acc-tr:  97.20, Acc-val:  49.70, L-tr: 0.0807, L-val: 3.4256
INFO:root:120: Acc-tr:  96.95, Acc-val:  47.04, L-tr: 0.0863, L-val: 3.7494
INFO:root:121: Acc-tr:  96.66, Acc-val:  48.17, L-tr: 0.0967, L-val: 3.3459
INFO:root:122: Acc-tr:  96.43, Acc-val:  49.10, L-tr: 0.1024, L-val: 3.2837
INFO:root:123: Acc-tr:  97.23, Acc-val:  50.14, L-tr: 0.0783, L-val: 3.2480
INFO:root:124: Acc-tr:  96.80, Acc-val:  50.46, L-tr: 0.0926, L-val: 3.1577
INFO:root:125: Acc-tr:  96.57, Acc-val:  51.29, L-tr: 0.0981, L-val: 3.0198
